dex_id,version_id,dex_entry
1,1,A strange seed was planted on its back at birth.The plant sprouts and grows with this POKéMON.
1,3,"It can go for days without eating a single morsel.In the bulb on its back, it stores energy."
1,4,The seed on its back is filled with nutrients.The seed grows steadily larger as its body grows.
1,5,"It carries a seed on its back right from birth. As itgrows older, the seed also grows larger."
1,6,"While it is young, it uses the nutrients that arestored in the seeds on its back in order to grow."
1,7,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back.By soaking up the sun’s rays, the seed grows progressively larger."
1,9,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
1,10,There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.
1,11,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
1,12,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
1,15,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
1,16,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
1,23,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
1,25,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
1,31,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
1,33,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
1,34,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
2,1,"When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs."
2,3,The bulb on its back grows by drawing energy.It gives off an aroma when it is ready to bloom.
2,4,Exposure to sun­ light adds to its strength. Sunlightalso makes the bud on its back grow larger.
2,5,"If the bud on its back starts to smell sweet, itis evidence that the large flower will soon bloom."
2,6,The bulb on its back grows as it absorbs nutrients.The bulb gives off a pleasant aroma when it blooms.
2,7,"There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong.If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
2,9,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
2,10,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
2,11,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
2,12,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
2,15,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
2,16,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
2,25,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
2,31,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
3,1,The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.
3,3,The flower on its back catches the sun's rays.The sunlight is then absorbed and used for energy.
3,4,"By spreading the broad petals of its flower andcatching the sun's rays, it fills its body with power."
3,5,"It is able to con­ vert sunlight into energy. As aresult, it is more powerful in the summertime."
3,6,"As it warms it­ self and absorbs the sunlight, itsflower petals release a pleasant fragrance."
3,7,There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutritionand sunlight. The flower’s aroma soothes the emotions of people.
3,9,VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
3,10,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
3,11,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
3,12,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
3,15,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
3,16,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
3,25,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
3,31,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
4,1,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail."
4,3,The flame at the tip of its tail makes a sound asit burns. You can only hear it in quiet places.
4,4,"The flame on its tail shows the strength of itslife force. If it is weak, the flame also burns weakly."
4,5,"The flame on its tail indicates CHARMANDER's lifeforce. If it is healthy, the flame burns brightly."
4,6,"If it's healthy, the flame on the tip of its tailwill burn vigor­ ously, even if it gets a bit wet."
4,7,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER isenjoying itself. If the POKéMON becomes enraged, the flame burns fiercely."
4,9,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."
4,10,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
4,11,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
4,12,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
4,15,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
4,16,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly."
4,23,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly."
4,25,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely."
4,31,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
5,1,"When it swings its burning tail, it elevates thetemperature to unbearably high levels."
5,3,"Tough fights could excite this POKéMON. Whenexcited, it may blow out bluish- white flames."
5,4,"It is very hot­ headed by nature, so it constantlyseeks opponents. It calms down only when it wins."
5,5,"It has a barbaric nature. In battle, it whips itsfiery tail around and slashes away with sharp claws."
5,6,"If it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings."
5,7,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turnsaggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
5,9,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
5,10,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.
5,11,"When it swings its burning tail, it elevates the air temperature to  unbearably high levels."
5,12,"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."
5,15,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
5,16,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
5,17,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
5,24,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
5,25,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
5,31,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames."
5,34,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
6,1,Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.
6,3,"When expelling a blast of super hot fire, the redflame at the tip of its tail burns more intensely."
6,4,"If CHARIZARD be­ comes furious, the flame at the tipof its tail flares up in a whitish- blue color."
6,5,"Breathing intense, hot flames, it can melt almost any­thing. Its breath inflicts terrible pain on enemies."
6,6,It uses its wings to fly high. The temperature of itsfire increases as it gains exper­ ience in battle.
6,7,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heatthat it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
6,9,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."
6,10,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
6,11,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
6,12,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
6,15,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
6,16,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
