dex_id,evolved_species_id,evolution_trigger_id,trigger_item_id,minimum_level,held_item_id,trade_species_id
1,2,1,,16.0,,
2,3,1,,32.0,,
3,5,1,,16.0,,
4,6,1,,36.0,,
5,8,1,,16.0,,
6,9,1,,36.0,,
7,11,1,,7.0,,
8,12,1,,10.0,,
9,14,1,,7.0,,
10,15,1,,10.0,,
11,17,1,,18.0,,
12,18,1,,36.0,,
13,20,1,,20.0,,
14,22,1,,20.0,,
15,24,1,,22.0,,
16,25,1,,,,
17,26,3,83.0,,,
18,28,1,,22.0,,
19,30,1,,16.0,,
20,31,3,81.0,,,
21,33,1,,16.0,,
22,34,3,81.0,,,
23,35,1,,,,
24,36,3,81.0,,,
25,38,3,82.0,,,
26,39,1,,,,
27,40,3,81.0,,,
28,42,1,,22.0,,
29,44,1,,21.0,,
30,45,3,85.0,,,
31,47,1,,24.0,,
32,49,1,,31.0,,
33,51,1,,26.0,,
34,53,1,,28.0,,
35,55,1,,33.0,,
36,57,1,,28.0,,
37,59,3,82.0,,,
38,61,1,,25.0,,
39,62,3,84.0,,,
40,64,1,,16.0,,
41,65,2,,,,
42,67,1,,28.0,,
43,68,2,,,,
44,70,1,,21.0,,
45,71,3,85.0,,,
46,73,1,,30.0,,
47,75,1,,25.0,,
48,76,2,,,,
49,78,1,,40.0,,
50,80,1,,37.0,,
51,82,1,,30.0,,
52,85,1,,31.0,,
53,87,1,,34.0,,
54,89,1,,38.0,,
55,91,3,84.0,,,
56,93,1,,25.0,,
57,94,2,,,,
58,97,1,,26.0,,
59,99,1,,28.0,,
60,101,1,,30.0,,
61,103,3,85.0,,,
62,105,1,,28.0,,
63,106,1,,20.0,,
64,107,1,,20.0,,
65,110,1,,35.0,,
66,112,1,,42.0,,
67,113,1,,,110.0,
68,117,1,,32.0,,
69,119,1,,33.0,,
70,121,3,84.0,,,
71,122,1,,,,
72,124,1,,30.0,,
73,125,1,,30.0,,
74,126,1,,30.0,,
75,130,1,,20.0,,
76,134,3,84.0,,,
77,135,3,83.0,,,
78,136,3,82.0,,,
79,139,1,,40.0,,
80,141,1,,40.0,,
81,143,1,,,,
82,148,1,,30.0,,
83,149,1,,55.0,,
84,153,1,,16.0,,
85,154,1,,32.0,,
86,156,1,,14.0,,
87,157,1,,36.0,,
88,159,1,,18.0,,
89,160,1,,30.0,,
90,162,1,,15.0,,
91,164,1,,20.0,,
92,166,1,,18.0,,
93,168,1,,22.0,,
94,169,1,,,,
95,171,1,,27.0,,
96,176,1,,,,
97,178,1,,25.0,,
98,180,1,,15.0,,
99,181,1,,30.0,,
100,182,3,80.0,,,
101,183,1,,,,
102,184,1,,18.0,,
103,185,1,,,,
104,186,2,,,198.0,
105,188,1,,18.0,,
106,189,1,,27.0,,
107,192,3,80.0,,,
108,195,1,,20.0,,
109,196,1,,,,
110,197,1,,,,
111,199,2,,,198.0,
112,202,1,,15.0,,
113,205,1,,31.0,,
114,208,2,,,210.0,
115,210,1,,23.0,,
116,212,2,,,210.0,
117,217,1,,30.0,,
118,219,1,,38.0,,
119,221,1,,33.0,,
120,224,1,,25.0,,
121,226,1,,,,
122,229,1,,24.0,,
123,230,2,,,212.0,
124,232,1,,25.0,,
125,233,2,,,229.0,
126,237,1,,20.0,,
127,242,1,,,,
128,247,1,,30.0,,
129,248,1,,55.0,,
130,253,1,,16.0,,
131,254,1,,36.0,,
132,256,1,,16.0,,
133,257,1,,36.0,,
134,259,1,,16.0,,
135,260,1,,36.0,,
136,262,1,,18.0,,
137,264,1,,20.0,,
138,266,1,,7.0,,
139,267,1,,10.0,,
140,268,1,,7.0,,
141,269,1,,10.0,,
142,271,1,,14.0,,
143,272,3,84.0,,,
144,274,1,,14.0,,
145,275,3,85.0,,,
146,277,1,,22.0,,
147,279,1,,25.0,,
148,281,1,,20.0,,
149,282,1,,30.0,,
150,284,1,,22.0,,
151,286,1,,23.0,,
